"QualifiedApiName","IsFieldHistoryTracked"
"Id","false"
"IsDeleted","false"
"MasterRecordId","false"
"Name","false"
"CompareName","false"
"Type","false"
"ParentId","false"
"BillingAddress","false"
"ShippingAddress","false"
"Phone","false"
"Fax","false"
"AccountNumber","false"
"Website","false"
"PhotoUrl","false"
"Sic","false"
"Industry","false"
"AnnualRevenue","false"
"NumberOfEmployees","false"
"Ownership","false"
"TickerSymbol","false"
"Description","false"
"Rating","false"
"Site","false"
"CompareSite","false"
"OwnerId","false"
"OwnerAlias","false"
"CreatedDate","false"
"CreatedById","false"
"LastModifiedDate","false"
"LastModifiedById","false"
"SystemModstamp","false"
"LastActivityDate","false"
"LastViewedDate","false"
"LastReferencedDate","false"
"UserRecordAccessId","false"
"RecordVisibilityId","false"
"SourceSystemIdentifier","false"
"IsCustomerPortal","false"
"Jigsaw","false"
"JigsawCompanyId","false"
"AccountSource","false"
"SicDesc","false"
"ConnectionReceivedDate","false"
"ConnectionSentDate","false"
"Tier","false"
"Active__c","false"
"Allow_Quick_Search__c","false"
"Approval_Required__c","false"
"Business_Units__c","false"
"Client_Code__c","false"
"Client_Status__c","false"
"Contract_Type__c","false"
"Custom_Filter_Config__c","false"
"CustomerPriority__c","false"
"Email_Domain__c","false"
"Hierarchy__c","false"
"Notification_Email__c","false"
"NumberofLocations__c","false"
"Reminder_Review_Period_Days__c","false"
"SLAExpirationDate__c","false"
"SLASerialNumber__c","false"
"SLA_Days__c","false"
"SLA__c","false"
"Time_of_Service__c","false"
"UpsellOpportunity__c","false"
"Workflow_Customization_Notes__c","false"
